Unique identifier,Getty AAT type,skos:prefLabel @en,skos:broader,rdf:type (skos:),skos:member,skos:altLabel @en,skos:editorialNote @en ,skos:note @en (getty),skos:note @en,external concept (getty),"type of match (getty) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",external concept (wikidata),"type of match (wikidata) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",dct:source,skos:example @en,skos:related
atSignsMotif,concept,@ signs (motif),motifs,Concept,signAndElement,at-sign $$ at $$ @ $$ at-signs $$ @ sign $$ @-signs $$ @-sign,"Only if the @sign shows up as an individual symbol, this also could be put here",,"The at-sign (@) is a symbol that is often used as a motif in graffiti. It can be used in a variety of ways by graffitists, depending on their intention. For example, the at-sign could be used to create a tag, such as ""@K-Rimes"" or ""@Jaz,"" which is a signature or identity used by the graffitist. The at-sign could also be used to create a message or slogan, such as ""@Peace"" or ""@Love.""

In terms of its visual appearance, the at-sign could be used in a graffiti piece in many different ways by graffitists. It could be rendered in a simple, straightforward manner, using clean lines and basic colors. Alternatively, it could be incorporated into a more complex design, using different colors, shapes, and styles to create visual interest.",,,https://www.wikidata.org/wiki/Q10714,skos:exactMatch,,"One example of how the at-sign could be used as a motif in graffiti by a graffitist is to create a portrait or figure using the symbol. For example, a graffitist could use the at-sign to create the outline of a face, with the symbol repeated over and over to fill in the features and create the desired effect. The at-sign could also be used to create other elements of the portrait, such as the hair, clothing, or background.",
3dGraffiti,concept,3D (graffiti),letterformComponents,Concept,style,3D $$ three-dimensional (graffiti) $$ three dimensional (graffiti) $$ 3d,"- can be a shading of the letters, but can be a block to the letters
- allows the writing to be seen in a three-dimensional
- I guess it could be also related to street art
- it a component that makes the writing appear 3D",,"In the graffiti community, the term ""3D"" typically refers to the use of three-dimensional effects or techniques in a graffiti piece. This could include the use of shading, highlighting, or other techniques to create the illusion of depth or volume within the piece. Graffitist often use 3D techniques to add realism, dynamism, and visual interest to their works.",,,https://www.wikidata.org/wiki/Q34929,skos:broadMatch,,"For example, a graffitists might use 3D techniques to create the illusion of a three-dimensional object within their piece, such as a ball, a box, or a car. The artist could use shading and highlighting to give the object a sense of depth and volume, making it appear more realistic and lifelike.

",blocksGraffiti
abstractStyleGraffiti,concept,abstract style (graffiti),stylesStreetArt,Concept,style,abstract $$ Abstract style $$ Abstract Style $$ abstract (style) $$ abstract (graffiti),"[Street Art styles]
- is not the same as the abstract art form
- also as the problem is, that the abstract art  in the Getty AAT is located in the branch of art forms. Would be good to have a discussion here

Question here: is it a Capital Letter at the styles always?

STYLES in general, where would we put them, as some could be both writing and street art
And it might be difficult to put the styles in the geographical locations",,"The term ""abstract"" in the context of graffiti refers to a style of art that is characterized by the use of geometric shapes, patterns, and colors to create compositions that do not represent recognizable objects or figures. Graffitists who use an abstract style often aim to create works that are visually striking, dynamic, and open to interpretation.

To create an abstract graffiti piece, a graffitist might use a variety of techniques, such as overlapping shapes, color blending, and repetition of patterns. The graffitist might also incorporate elements of surrealism, cubism, or other artistic styles to add complexity and interest to the work.","http://vocab.getty.edu/page/aat/300108127
",broadMatch,https://www.wikidata.org/wiki/Q333357,skos:broadMatch,,"An example of an abstract graffiti piece is a composition that uses geometric shapes, such as circles, triangles, and squares, in a variety of colors and patterns. The graffitist might use overlapping and interlocking shapes to create a sense of movement and dynamism within the piece. The composition could also incorporate elements of symmetry, repetition, and variation to add visual interest and complexity.",
accidentalSurfaceCoveringProcessesGT,guide term,accidential surface covering processes <guide term>,additiveAndJoiningProcessesAndTechniquesGT,Concept,,,,,,,,,,,,
ActivitiesF,facet,Activities <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
activity,collection,activity,,Collection,,,,,,,,,,,,
additiveAndJoiningProcessesAndTechniquesGT,guide term,additive and joining processes and techniques <guide term>,processesAndTechniquesBySpecificTypeGT,Concept,,,,,,,,,,,,
AgentsF,facet,Agents <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
anarchySymbols,concept,anarchy symbols,motifs,Concept,signAndElement,Anarchy sign $$ anarchy symbol,"- a motif
- can be independent, but also connected to other messagaes",,"The term ""anarchy symbol"" in the context of graffiti refers to a visual symbol that is often used by graffitists to express anarchist or anti-establishment ideas. The most common form of the anarchy symbol is a circle with a ""A"" inside, but other variations also exist.

To create an anarchy symbol graffiti piece, a graffitist might use a variety of techniques, such as stenciling, spray paint, or markers. The graffitist might also incorporate elements of other symbols or imagery, such as the peace sign or the skull and crossbones, to add complexity and meaning to the work.",,,https://www.wikidata.org/wiki/Q31895,skos:relatedMatch,,"An example of an anarchy symbol graffiti piece is a composition that uses the circle with the ""A"" inside to create a bold, eye-catching design. The graffitist might use a variety of colors and styles, such as gradient effects or 3D shading, to add visual interest to the piece. The composition could also incorporate other symbols or imagery, such as the peace sign or the skull and crossbones, to add additional meaning and context to the work.",
antiStyleGraffiti,concept,anti style (graffiti),stylesStreetArt,Concept,style,Anti style $$ Anti Style $$ Ugly Style $$ ugly style $$ Ugly style,"[Writing styles]
- is a graffito (more like writing) style
- styling of words etc
We would suggest add all styles (graffiti, verbal, symbolic and street art) under this branch, and add a new hierarchical term for all the four elements. But does this actually make sense? This needs to be discussed!",,"The term ""anti style"" in the context of graffiti refers to a deliberately unfinished, rough, or chaotic approach to creating graffiti. Graffitists who use an anti style often aim to create works that are raw, spontaneous, and free from the constraints of traditional graffiti techniques.

To create an anti style graffiti piece, a graffitist might use a variety of techniques, such as sketchy lines, messy drips, and distorted shapes. The graffitist might also incorporate elements of chance, randomness, and accident into their work, to create a sense of unpredictability and spontaneity. Overall, the anti style is a unique and challenging approach to graffiti, and can be used by graffitists to create works that are raw, spontaneous, and free from the constraints of traditional techniques.",,,,,,"An example of an anti style graffiti piece is a composition that uses sketchy lines, distorted shapes, and messy drips to create a chaotic, unplanned effect. The graffitist might use a variety of colors, but without any clear organization or pattern. The composition could also incorporate elements of randomness, such as drips or splatters that appear to have been applied accidentally or spontaneously.",
arrowsLetterAttribute,concept,arrows (letter attribute),letterformComponents,Concept,,arrow (letter attribute),,,,,,,,,,
arrowsMotif,concept,arrows (motif),motifs,Concept,design,arrow (motif) $$ arrows $$ arrow,,,,,,https://www.wikidata.org/wiki/Q1139519,skos:closeMatch,,,
AssociatedConceptsF,facet,Associated Concepts <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
AssociatedConceptsHN,hierarchy name,Associated Concepts <hierarchy name>,AssociatedConceptsF,Concept,,,taken from the Getty AAT,,,,,,,,,
attributesAndPropertiesBySpecificTypeGT,guide term,attributes and properties by specific type <guide term> ,AssociatedConceptsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
backgroundsGraffiti,concept,backgrounds (graffiti),graffitiConcepts,Concept,componentPart,background (graffiti),"Could it be both:
- first layer of paint to buff the underlying graffito/ graffiti
- pattern and design that is in the background of the graffito

What is the first covering of the wall called? Also background? --> we call it PRIMING",,,,,,,,,
backgroundsPriming,concept,backgrounds (priming),surfaceCoveringProcessesAndTechniquesGT,Concept,componentPart $$ activity,background (priming),taken from the Getty AAT,,,,,https://www.wikidata.org/wiki/Q13217555,skos:broadMatch,,,
battlesGraffiti,concept,battles (graffiti),publicAndInteractiveActivitiesGT,Concept,communityTerm,battles $$ battle $$ battle (graffiti),"- could this be an activity? Like battleing should be part here
- the battle then is what remains?",,,,,https://www.wikidata.org/wiki/Q105826326,skos:broadMatch,,,
bitingsGraffiti,concept,bitings (graffiti),publicAndInteractiveActivitiesGT,Concept,communityTerm,biting (graffiti) $$ bitings $$ biting,"- an activity
- copying
- the result is the a ""bite""?
- younger/ newer/ beginners are learning this way by copying graffiti of other people
- a negative activity
frauned apon when you copy a work (and then take credit for thsi)

Make this like ""bombing"" - in regard to the hierarchical position? Is it a similarish activitiy (not by the meaning but by the intend)?",,,http://vocab.getty.edu/page/aat/300053257 ,closeMatch,,,,,
blackBooksGraffiti,concept,black books (graffiti),sketchbooks,Concept,communityTerm,"blackbooks $$ blackbook $$ black book $$ book, black $$ books, black $$ black book (graffiti)","- the book that has sketches and designs and probably tags inside
- in the old days also had printed pictures
- could be maybe also seen as a friendships book, where you connect tags (and maybe sketches) from other graffitists
- similar to an artists skecthbook
- there you practice and kind of protocol the way your skills and ideas are developing
taken from the Getty AAT, also the hierarchical structure",,,http://vocab.getty.edu/page/aat/300379259 ,exactMatch,,,,,
blockbusterStyleGraffiti,concept,blockbuster style (graffiti),stylesWriting,Concept,style,"style, blockbuster $$ blockbuster style $$ Blockbuster style $$ Blockbuster Style","[Writing styles]
- this is a graffiti style (of the type writing and definetly not connected to street art)
- one of the oldest styles",,,,,,,,,
blocksGraffiti,concept,blocks (graffiti),letterformComponents,Concept,componentPart,block (graffiti) $$ block $$ blocks,"- like 3D, or is one option to a a three-dimentional result of the writing
- or is this a simple block style letter?
- Or should we treat this like ""background""?",,,http://vocab.getty.edu/page/aat/300211042,broadMatch,,,,,3dGraffiti
bombingGraffiti,concept,bombing (graffiti),publicAndInteractiveActivitiesGT,Concept,communityTerm $$ activity,bombing,"- in the community, this could be apparently both: something like a throw-up/ something done quickly, but also the activity of creating A LOT of graffiti","In the context of graffiti, bombing denotes prolific and repeated renderings of a single 'tag' in a given physical area in order to attract recognition.",,http://vocab.getty.edu/page/aat/300410273,exactMatch,,,,,
bubbleStyleGraffiti,concept,bubble style (graffiti),stylesWriting,Concept,style,"style, bubble $$ Bubble Style $$ Bubble style","[Writing styles]
- a style in which the letters (of the writing) are appearing",,,,,,,,,
bubblesMotif,concept,bubbles (motif),motifs,Concept,design,bubble (motif),"- a motif or symbol or sign
- but it also could be a pattern, especially if it appears in the background or in the filling of the letters
- mostly appear in a state of multiples, so better to say bubbles
- it can appear in the filling of the letters, as a part of the design (like in street art the bubbles of a fish) or in the background",,,http://vocab.getty.edu/page/aat/300443508,broadMatch,https://www.wikidata.org/wiki/Q75794,skos:broadMatch,,,cloudsMotifs
buffingsGraffiti,concept,buffings (graffiti),publicAndInteractiveActivitiesGT,Concept,communityTerm,buffing,"- an activity
- there should be a a noun, the end result of the activity, attached here, like the ""buff"" 
- It can be either something positive and respectful (like the total covering of the underlying graffito to start creating your own work), something playful (like the graffitist playging with the coverers by creating somehing new via the buffers - the people that cover) and then the completely negative (buffing via a company, order etc) - which can be two types either covering the graffito with a layer of paint or erasing it by scraping it of.
- always considered in a negative way by a creator; would not be associated with a creator.",,,,,,,,,
BuiltEnvironmentHN,hierarchy name,Built Environment <hierarchy name>,ObjectsF,Concept,,,,,,,,,,,,
burnersGraffiti,concept,burners (graffiti),graffitiConcepts,Concept,communityTerm,burner (graffiti) $$ burners $$ burner,"I do not see this like the hierarchical situation in the Getty
THis is a concept, quite objective
- a really good - the best - graffito
- this is an aspect that also depends on the judger and audience
- it is kind of like a title and appreciation of the graffito
- my personal question: how did this concept changed nowadays as the graffitists have more time to finsih their work?",,,http://vocab.getty.edu/page/aat/300410278 ,exactMatch,,,,,
calligraffitiStyle,concept,calligraffiti (style),stylesGraffiti,Concept,style,calligraffito (style) $$ calligraffiti $$ calligraffito,"[Writing styles]
- it is a specific way a graffito (more like tag) is looking, so it is a style
- also a techniques (really specific technique)",,,,,https://www.wikidata.org/wiki/Q22669850,skos:broadMatch,,,
charactagGraffiti,concept,charactags (graffiti),charactersWriting,Concept,graffitoType,charactag,"[graffiti] --> [Writing] --> [Tag]
- a tag drawn with a marker
- a character that appears more regularly around the streets
- recognisable character (maybe)
- it is like a signature of the graffitist (making them also recognisable)
- related to both: tags and characters
--> but I would add this more to the tag, reason, because it could be any kind of character (figure) but the tag is something quite specific
--> or is this better to add beneath character, because it might not be obvious if this is a charactag, but it might be clear that it is a character",,,,,,,,,tagsGraffiti
charactersStreetArt,concept,characters (street art),figureWorks,Concept,graffitoType,character (street art),,,,,,,,,,
charactersWriting,concept,characters (writing),figuresRepresentations,Concept,graffitoType,character (writing),"- it could be the main motif, but also like a side motif
- I think it stems from cartoonic characters
- I think nowadays also other characters like animals, human body parts, robots etc are part of this description. 
Character: is this everything that has a figure/ animal/ humanoid included in either the writing or the street art work

we have to define it. Is it a cartoon character only? Would it only refer to a motif in a writing or could it be a street art component as well?
Could we see the ""Character"" as a subcategory of ""figures (representations)"" - Getty AAT concept ?",,,,,,,,,
cloudsMotifs,concept,clouds (motifs),motifs,Concept,design,cloud (motif),"- a motif or symbol
--> also a pattern
- like the bubble, actually accures in multiple --> ""clouds""
- can be part of the background
- just see the ""bubbles""",,,http://vocab.getty.edu/page/aat/300343840 ,closeMatch,https://www.wikidata.org/wiki/Q8074,skos:broadMatch,,,bubblesMotif
commissionedWorksGraffiti,concept,commissioned works (graffiti),graffitiConcepts,Concept,conceptIdea,commissioned work (graffiti),"- this can be every time of graffito
- often connected to owned walls
- a totally legal graffito
- could be done by multiple graffitists working together
- mostly and often connected to a certain amount of advertisment

Correct description? 
There seems something wrong in the description, would be good to elaborate

We are defining a work from a social-economical perspective --> does it make sense? Or should that be changed?","Orders, charges, projects, or activities requested and usually financed by one party and ordered or entrusted to an artist or other party to perform or execute, for example a commission may be made for a particular art work. For the process of assigning or granting a commission, use ""commissioning (function).",,http://vocab.getty.edu/page/aat/300400904,exactMatch,,,,,
communityTerm,collection,community term,,Collection,,,,,,,,,,,,
componentPart,collection,component part,,Collection,graffitoComponent,,,,,,,,,,,
componentsObjectsParts,concept,components (objects parts),ComponentsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
ComponentsHN,hierarchy name,Components <hierarchy name>,ObjectsF,Concept,,,taken from the Getty AAT,,,,,,,,,
componentsBySpecificContextGT,guide term,components by specific context <guide term>,componentsObjectsParts,Concept,,,taken from the Getty AAT,,,,,,,,,
computerNetworkingConcepts,concept,computer networking concepts,informationTechnology,Concept,,,taken from the Getty AAT,,,,,,,,,
conceptIdea,collection,concept idea,,Collection,graffitoComponent,,,,,,,,,,,
conceptWallsGraffiti,concept,concept walls (graffiti),graffitiConcepts,Concept,conceptIdea,concept wall (graffiti),,,,,,,,,,
conceptsInTheArtsAndHumanitiesGT,guide term,concepts in the arts and humanities <guide term>,AssociatedConceptsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
connectionsGraffiti,concept,connections (graffiti),outlinesGraffiti,Concept,conceptIdea,connection (graffiti),,,,,,https://www.wikidata.org/wiki/Q230629,skos:broadMatch,,,
cracksMotif,concept,cracks (motif),motifs,Concept,design,crack (motif),"not al all as these are conditions and not design elements aka part of a painting, but as these painting elements are mimicking the real (age, mechanical etc) cracks, this also could be seen as broadMatch.
- a more like pattern that can be either in the background or in the filling of the letters
- NOTHING to do with the condition of the graffito
- but still motif is the best category, because patterns might be only for exactly repeated elements",,,http://vocab.getty.edu/page/aat/300209168 ,broadMatch,,,,,
crewsGraffiti,concept,crews (graffiti),groupsOfPeople,Concept,graffitoCreator,crew (graffiti),"- a group of graffitists
- can be from two to many graffitists",,,http://vocab.getty.edu/page/aat/300192630 ,broadMatch,https://www.wikidata.org/wiki/Q345844,skos:closeMatch,,,
crossingOutGraffiti,concept,crossing out (graffiti),publicAndInteractiveActivitiesGT,Concept,conceptIdea,crossing,,,,,,,,,,
crownsMotifs,concept,crowns (motif),motifs,Concept,design,crown (motif),"- can be a motif or symbol
- also as a concept related to the ""king"" as it shows the crowing of a king aka a great master in the graffiti community/ a great graffitists which excels either in quality or quantity of graffiti",,,http://vocab.getty.edu/page/aat/300046020 ,closeMatch,https://www.wikidata.org/wiki/Q908430,skos:closeMatch,,,
cutOutsGraffiti,concept,cut outs (graffiti),pasteUpsGraffiti,Concept,graffitoType,cut out (graffiti) $$ cutouts $$ cutout,"[graffiti] --> [Street Art]
- a poster, that has been cut out and pasted on a wall/ surface
- could show a figure/ character
- also could be writing","Shapes, forms, or figures cut from, or intended to be cut from, pieces of material such as paper, cardboard, wood, or cloth.",,http://vocab.getty.edu/page/aat/300257411 ,closeMatch,https://www.wikidata.org/wiki/Q5137101,skos:closeMatch,,,
dedicationsGraffiti,concept,dedications (graffiti),graffitiConcepts,Concept,conceptIdea,dedication (graffiti) ,"- a graffito that was dedicated to a person, which is then often named in the piece itselfes
- can also be multiple people or even a crew",,,http://vocab.getty.edu/page/aat/300026114,closeMatch,https://www.wikidata.org/wiki/Q1898184,skos:broadMatch,,,
design,collection,design,,Collection,graffitoComponent,,,,,,,,,,,
designElementsAttributes,concept,design elements (attributes),DesignElementsHN,Concept,,,taken from the Getty AAT,"Fundamental ideas and components or parts that are observable in a visual design or work of art, such as lines, points, movement, forms, spaces, colors, textures, and patterns, among others.",,http://vocab.getty.edu/page/aat/300009699 ,exactMatch,,,,,
DesignElementsHN,hierarchy name,Design Elements <hierarchy name>,PhysicalAttributesF,Concept,,,taken from the Getty AAT,,,,,,,,,
documentGenres,concept,document genres,informationFormsObjects,Concept,,,,,,,,,,,,
documentsByFunctionGT,guide term,documents by function <guide term> ,documentGenres,Concept,,,,,,,,,,,,
drippingTechnique,concept,dripping (technique),surfaceCoveringProcessesAndTechniquesGT,Concept,activity,,,Technique of creating paintings by dripping or pouring paint in a semi-controlled manner onto the support.,,http://vocab.getty.edu/page/aat/300053347 ,closeMatch,,,,,
dripsBeginnersMark,concept,drips (beginners' mark),accidentalSurfaceCoveringProcessesGT,Concept,,drip (beginners' mark),"- the sign that this work might be done by a beginner aka toy
- physical attribute that points to a beginner",,,,,,,,,
dripsMotif,concept,drips (motif),motifs,Concept,design,drip (motif),"- can be a technqiue but also the resulting graffiti
- has a specific style
- is a reductive technique",,,,,,,,,
etchingTechnique,concept,etching (technique),subtractiveProcessesAndTechniquesGT,Concept,activity,,"not sure if the Getty AAT concept ""etching (corroding)"" is not the right one and correct

taken from the Getty AAT

select sub-concept ""biting"", specifically with acids",,,http://vocab.getty.edu/page/aat/300053840 ,closeMatch,https://www.wikidata.org/wiki/Q186986,skos:exactMatch,,,
etchingsGraffiti,concept,etchings (graffiti),writingGraffiti,Concept,graffitoType,etching (graffiti),,,,,,,,,,
fadingsGraffiti,concept,fadings (graffiti),graffitiConcepts,Concept,componentPart,fading (graffiti),"[Fill In]
- a specific painting technique, that basically creates a gradient 
- can be either the fill in of the letters, but also the background
- fading one colour into the other
- but it is not only a technique, but also the outcome",,,,,,,,,
fame,concept,fame,sociologicalConcepts,Concept,communityTerm,,taken from the Getty AAT,"Action or condition of being much talked about, chiefly in a good sense. Reputation derived from great achievements, celebrity, honor, renown.",,http://vocab.getty.edu/page/aat/300417274 ,exactMatch,https://www.wikidata.org/wiki/Q1519566,skos:exactMatch,,,
figureWorks,concept,figure works,visualWorksByFunctionGT,Concept,,,,,,,,,,,,
figuresRepresentations,concept,figures (representations),visualWorksByFunctionGT,Concept,,,,"Representations of humans, animals, or mythical beasts, in any medium.
 ",, http://vocab.getty.edu/page/aat/300189808,closeMatch,,,,,
fillInsGraffiti,concept,fill ins (graffiti),graffitiConcepts,Concept,componentPart,fill in (graffiti),"- the fill in of the letter
- can be done with different techniques, styles, motifs
- Maybe not a ""design element"" in the Getty AAT sense",,,,,,,,,
firstLiniesGraffiti,concept,first lines (graffiti),outlinesGraffiti,Concept,componentPart,"first line (graffiti) $$ lines, frist (graffiti) $$ line, first (graffiti)","- the sketch
- the first outline, that helps map out the graffito and where every thing goes, it then often gets covered (by the fill in)
--> borders (ornament ...)",,,http://vocab.getty.edu/page/aat/300015618,closeMatch,,,,,
firstRowsGraffiti,concept,first rows (graffiti),openSpacesByLocationOrContextGT,Concept,,"rows, first (graffiti) $$ first row (graffiti)","- easy to reach level on a wall.
- often gets covered
- reachable just by standing on the ground --> needs no special equipment to reach this level",,,,,,,,,
formAttributes,concept,form attributes,attributesAndPropertiesBySpecificTypeGT,Concept,,,taken from the Getty AAT,,,,,,,,,
genderSignsMotifs,concept,gender signs (motifs),motifs,Concept,signAndElement,gener sign (motif),- a sign and motif,,,,,https://www.wikidata.org/wiki/Q48277,skos:closeMatch,,,
geometricStyleGraffiti,concept,geometric style (graffiti),stylesWriting,Concept,style,"style, geometric","[Street Art Style]
- writing: letters are created in a geometric way
- like geometrical forms ",,,,,https://www.wikidata.org/wiki/Q43114389,skos:broadMatch,,,
gettingUpGraffiti,concept,getting up (graffiti),fame,Concept,communityTerm,"up, getting","- becoming famous
- either by quality or quantity",,,,,,,,,
glories,concept,glories,motifs,Concept,,,taken from the Getty AAT,,,,,,,,,
graffiti,concept,graffiti,visualWorksByLocationOrContextGT,Concept,graffitoClass,graffito,"- the work that appears in the public, communal (and also private) space
- ""graffiti as objects""
--> also how are we putting ""graffiti as activities"" and ""graffiti as style"" into our thesaurus, or do we not put it in there?? ",,,http://vocab.getty.edu/page/aat/300015613 $$ http://vocab.getty.edu/page/aat/300410270 ,closeMatch $$ closeMatch,https://www.wikidata.org/wiki/Q17514,skos:exactMatch,,,
graffitiConcepts,concept,graffiti concepts,conceptsInTheArtsAndHumanitiesGT,Concept,,,taken from the Getty AAT,,,,,,,,,
graffitists,concept,graffitists,peopleInTheArtsAndRelatedOccupationsGT,Concept,graffitoCreator,graffitist,- the creator of a graffito,"Refers to people who create humorous, satiric, obscene, or gang-related writings or drawings that are executed anonymously in public places, usually on walls and typically illegally.",,http://vocab.getty.edu/page/aat/300312066,closeMatch,https://www.wikidata.org/wiki/Q15095148,skos:exactMatch,,,
graffitoClass,collection,graffito class,,Collection,,,,,,,,,,,,
graffitoComponent,collection,graffito component,,Collection,,,,,,,,,,,,
graffitoCreator,collection,graffito creator,,Collection,,,,,,,,,,,,
graffitoType,collection,graffito type,,Collection,,,,,,,,,,,,
greetingsGraffiti,concept,greetings (graffiti),graffitiConcepts,Concept,conceptIdea,greeting (graffiti),"- greeting a person, crew fellow graffiist in our graffiti
- Same hierarchy as dedication",,,,,https://www.wikidata.org/wiki/Q50809272,skos:relatedMatch,,,
groupsOfPeople,concept,groups of people,peopleAgents,Concept,,,taken from the Getty AAT,General term for types of groups of people.,,http://vocab.getty.edu/page/aat/300192630 ,exactMatch,,,,,
hallsOfFameGraffiti,concept,halls of fame (graffiti),openSpacesByLocationOrContextGT,Concept,,hall of fame (graffiti),"- a well-known area were a lot of graffiti are created
- this is similar to a gallery in this reagrd that you can go there and visit and observe different ind of graffiti from different graffitist, but other like a art gallery, this room is not being curated
There is ""hall of fame"" in Getty AAT, but it refers to a built environment, while the concept in the graffiti community is more general and also open to interpretation and different definitions; so this needs some futher discussion where to put it",,,http://vocab.getty.edu/page/aat/300005813 ,broadMatch,https://www.wikidata.org/wiki/Q1046088,skos:relatedMatch,,,
halosGlories,concept,halos (glories),glories,Concept,,halo (glories),,"Glories that comprise a circle, disk, series of lines, or rays of light with which the head of the sacred personage is surrounded. In Hellenistic and Roman art, halos are worn by the sun-god Helios and Roman emperors often appear with a crown of rays. The imagery was picked up in Christian art.",,http://vocab.getty.edu/page/aat/300375684 ,exactMatch,https://www.wikidata.org/wiki/Q3341893,skos:exactMatch,,,
halosGraffiti,concept,halos (graffiti),halosGlories,Concept,design,halo (graffiti),"- a holy sign, motif
- like the ""crown"" - related to this actually - it shows the greatness of the graffitist off",,,,,,,,,
handstylesGraffiti,concept,handstyles (graffiti),graffitiConcepts,Concept,communityTerm,handstyle,"In my opinion:
- the graffitists signature 
- present in the tag
- this is the tag style the graffitist is known for and can be identified with
- can appear on a writing (or also street art work maybe?) ike an artists signes his or her work, this is done by a graffitist as well

--> would be also interesting to talk here about if a handstyle could accure in a piece, like with SKIRL he has a quite unique style",,,,,https://www.wikidata.org/wiki/Q16873917,skos:exactMatch,,,
