Unique identifier,Getty AAT type,skos:prefLabel @en,skos:broader,rdf:type (skos:),skos:member,skos:altLabel @en,skos:editorialNote @en ,skos:note @en (getty),skos:note @en,external concept (getty),"type of match (getty) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",external concept (wikidata),"type of match (wikidata) (skos:exactMatch, skos:closeMatch, skos:broadMatch, skos:narrowMatch, skos:relatedMatch)",dct:source,skos:example @en,skos:related
heartsMotifs,concept,hearts (motifs),motifs,Concept,signAndElement,heart (motif),"- a motif, but maybe could also be a pattern
- and also the letters can be at the end in a heart shape",Refers to the highly conventionalized figure based on the shape of the human heart.,,http://vocab.getty.edu/page/aat/300009874 ,exactMatch,https://www.wikidata.org/wiki/Q826930,skos:exactMatch,,,
helloMyNameIsGraffiti,concept,Hello My Name Is (graffiti),stylesSticker,Concept,style,,"- a specific type of sticker, that is the basis for a tag (or handstyle)",,,,,,,,,
highlightsGraffiti,concept,highlights (graffiti),outlinesGraffiti,Concept,componentPart,highlight (graffiti),"- can be either lines or star-shaped
- highlighting in a light colour (often white) the letters
- mimicks the sun or light bulb light reflecting off at this place
- complementary (?) to the shadow","The technique of adding white or light media on a medium-toned or dark ground. The term is usually reserved for drawing, but painting and other image-making processes may also employ highlighting.",,http://vocab.getty.edu/page/aat/300389864,closeMatch,https://www.wikidata.org/wiki/Q2412125,skos:closeMatch,,,
informationFormComponents,concept,information form components,componentsBySpecificContextGT,Concept,,,taken from the Getty AAT,,,,,,,,,
informationFormsObjects,concept,information forms (objects),InformationFormsHN,Concept,,,,,,,,,,,,
InformationFormsHN,hierarchy name,Information Forms <hierarchy name>,VisualAndVerbalCommunicationHN,Concept,,,,,,,,,,,,
informationTechnology,concept,information technology,technologyGeneralAssociatedConcept,Concept,,,taken from the Getty AAT,,,,,,,,,
inlinesGraffiti,concept,inlines (graffiti),outlinesGraffiti,Concept,componentPart,inline (graffiti),,,,,,,,,,
kingsGraffiti,concept,kings (graffiti),peopleByStateOrConditionGT,Concept,communityTerm,king (graffiti),"- is ""crowned"" by the community
- could show this by adding a halo or crown to the tag or writing
- is on the right step of ""getting up"" (at least among the graffitists)
- We conclude, as ""king"" is linked to ""getting up"" in the graffiti community (and also outside) we see it more as a celebrity thing rather than having an expert level of knowledge on how to draw stuff.",,,http://vocab.getty.edu/page/aat/300025481,broadMatch,https://www.wikidata.org/wiki/Q12097,skos:broadMatch,,,
letterShadowsGraffiti,concept,letter shadows (graffiti),outlinesGraffiti,Concept,,"shadows, letter (graffiti) $$ letter shadow (graffiti)","- a design element
- the shadow of a letter (or also a character) to show a three-dimensional word (or character) 
- the opposit of the highlight --> in the opposit direction of the highlight ",,,http://vocab.getty.edu/page/aat/300056036 ,closeMatch,,,,,
letterformComponents,concept,letterform components,letterforms,Concept,,,taken from the Getty AAT,,,,,,,,,
letterforms,concept,letterforms,lettersSigns,Concept,,,taken from the Getty AAT,,,,,,,,,
lettersSigns,concept,letters (signs),phoneticSigns,Concept,,,taken from the Getty AAT,,,,,,,,,
mechanicalStyleGraffiti,concept,mechanical style (graffiti),stylesWriting,Concept,style,"style, mechanical","[Writing styles]
- a style that is connected to writing (tag, piece, throw-up etc)",,,,,,,,,
memorialsGraffiti,concept,memorials (graffiti),graffitiConcepts,Concept,conceptIdea,memorial (graffiti),"- It can be considered in two meanings: or an addition to a graffito to remember someone, or a graffito that is being preserverd to remember someone
- Furthermore, the Purpose of a graffito might change over time --> reflect on our definition",,,http://vocab.getty.edu/page/aat/300006956,broadMatch,https://www.wikidata.org/wiki/Q5003624,skos:broadMatch,,,
messagesGraffiti,concept,messages (graffiti),graffitiConcepts,Concept,componentPart,message (graffiti),"Can be two things:
1. is part of the graffito and like a dedication can be a message to the fellow graffitist, a crew or other people
2. can also refer to the message the graffito wants to send as a whole. This differs from the creator of the graffito, the observer and even the researcher, how each of them perceive the message of the graffito.",,,,,https://www.wikidata.org/wiki/Q628523,skos:broadMatch,,,
minimalismGraffiti,concept,minimalism (graffiti),stylesStreetArt,Concept,style,,"I put the name here in small letters, as I suspect that this is not the Minimal art style
A graffito style:
- minimalistic writing
- but could it also be a street art style, which is influenced by the real art style ""Minimal""",,,http://vocab.getty.edu/page/aat/300065758,broadMatch,https://www.wikidata.org/wiki/Q173436,skos:broadMatch,,,
mirroredGraffiti,concept,mirrored (graffiti),graffitiConcepts,Concept,style,,"[Writing styles]? 
Or os this more an orientation of the writing?
- the writing of a graffito in a mirrored form",,,,,,,,,
mosaicTechnique,concept,mosaic (technique),surfaceCoveringProcessesAndTechniquesGT,Concept,activity,,,"A method of decorating surfaces with patterns or pictures composed of small, regularly-shaped pieces of colored durable material, such as stone or glass.",,http://vocab.getty.edu/page/aat/300138684,exactMatch,,,,,
mosaicsGraffiti,concept,mosaics (graffiti),streetArtGraffiti,Concept,graffitoType,mosaic (graffiti),"- a graffito created out of tiny pieces from tiles, glass or even mirrors and these small pieces of material then make up a bigger piece when put together.
- it is an additive technique
- attached to a surface
- as this is a ""graffito as object"", what would then be the ""graffito as activtity""? "," Images or patterns composed of small, regularly shaped pieces of durable material, usually stone or colored glass. Distinguished from ""opus sectile,"" which is composed of individually shaped pieces of durable material, usually stone or glass, which conform to the design or pattern.",,http://vocab.getty.edu/page/aat/300015342,exactMatch,https://www.wikidata.org/wiki/Q133067,skos:exactMatch,,,
motifs,concept,motifs,designElementsAttributes,Concept,,motif,taken from the Getty AAT,,,,,,,,,
muralsStreetArt,concept,murals (street art),streetArtGraffiti,Concept,graffitoType,mural (street art),"[graffiti] --> [Street Art]
Are we adding the types below?
- a type of graffito
- more connected to Street Art? What are the dimensions here? Often referred to as covering a complete wall
- there is no clear line if it is now only a street art work or a writing ","Painted decorations or scenes that dominate a wall (or ceiling) surface. For works in other media that dominate a wall (or ceiling), use the more general term ""murals (any medium)"".",,http://vocab.getty.edu/page/aat/300033644,exactMatch,https://www.wikidata.org/wiki/Q219423,skos:exactMatch,,,
muralsWriting,concept,murals (writing),writingGraffiti,Concept,graffitoType,mural (writing),,,,,,,,,,
naturalElementMotifs,concept,natural element motifs,motifs,Concept,,,,,,,,,,,,
ObjectsF,facet,Objects <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
openSpaces,concept,open spaces,OpenSpacesAndSiteElementsHN,Concept,,,,,,,,,,,,
OpenSpacesAndSiteElementsHN,hierarchy name,Open Spaces and Site Elements <hierarchy name>,BuiltEnvironmentHN,Concept,,,,,,,,,,,,
openSpacesByLocationOrContextGT,guide term,open spaces by location or context <guide term>,openSpaces,Concept,,,,,,,,,,,,
organicStyleGraffiti,concept,organic style (graffiti),writingsStyle,Concept,style,"style, organic ","[Writing styles]
- a writing style I would assume
- organic looking, so like a tree, something growing and maybe blending into its surrounding really nicely (if it is nature).
- smooth forms",,,http://vocab.getty.edu/page/aat/300191632 ,broadMatch,,,,,
outlinesGraffiti,concept,outlines (graffiti),letterformComponents,Concept,componentPart,outline (graffiti),,,,,,,,,,
paintStencilTechnique,concept,paint stencil (technique),surfaceCoveringProcessesAndTechniquesGT,Concept,activity,"stencil, paint (technique)",,-,,http://vocab.getty.edu/page/aat/300428775 ,exactMatch,,,,,
paperStyleGraffiti,concept,paper style (graffiti),stylesWriting,Concept,style,"style, paper","[Writing styles]
- writing style
- I guess could look like a folded paper?",,,,,https://www.wikidata.org/wiki/Q11472,skos:relatedMatch,,,
pasteUpsGraffiti,concept,paste ups (graffiti),streetArtGraffiti,Concept,graffitoType,paste up (graffiti),"- a poster added with wheatpaste
- something got added (additive technique)
- as an object: could be connected either to street art or actually this is probably mostley a ""verbal graffiti"" type ","Graffiti art comprising images, usually on paper, affixed to surfaces using a wheat flour mixture.",,http://vocab.getty.edu/page/aat/300410376 ,exactMatch,https://www.wikidata.org/wiki/Q484196,skos:exactMatch,,,
peopleAgents,concept,people (agents),PeopleHN,Concept,,,taken from the Getty AAT,,,,,,,,,
PeopleHN,hierarchy name,People <hierarchy name>,AgentsF,Concept,,,taken from the Getty AAT,,,,,,,,,
peopleByOccupationGT,guide term,people by occupation <guide term>,peopleAgents,Concept,,,,,,,,,,,,
peopleByStateOrConditionGT,guide term,people by state or condition <guide term>,peopleAgents,Concept,,,taken from the Getty AAT,,,,,,,,,
peopleInTheArtsAndRelatedOccupationsGT,guide term,people in the arts and related occupations <guide term>,peopleInTheHumanitiesGT,Concept,,,,,,,,,,,,
peopleInTheHumanitiesGT,guide term,people in the humanities <guide term>,peopleByOccupationGT,Concept,,,,,,,,,,,,
phoneticSigns,concept,phonetic signs,scriptAndTypeSigns,Concept,,,taken from the Getty AAT,,,,,,,,,
photorealisticStyleGraffiti,concept,photorealistic style (graffiti),stylesStreetArt,Concept,style,"style, photorealistic","[Street Art Styles]
-  a style often connected to street art and art itself
- drawing something that looks as realistic as a picture/ photograph",,,http://vocab.getty.edu/page/aat/300022201,closeMatch,https://www.wikidata.org/wiki/Q939559,skos:relatedMatch,,,
physicalActivitiesBySpecificContextGT,guide term,physical activities by specific context <guide term>,PhysicalAndMentalActivitiesHN,Concept,,,taken from the Getty AAT,,,,,,,,,
PhysicalAndMentalActivitiesHN,hierarchy name,Physical and Mental Activities <hierarchy name>,ActivitiesF,Concept,,,taken from the Getty AAT,,,,,,,,,
PhysicalAttributesF,facet,Physical Attributes <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
piecesGraffiti,concept,pieces (graffiti),writingGraffiti,Concept,graffitoType,piece (graffiti) $$ masterpieces $$ masterpiece,"[graffiti] --> [Writing]
- short form for ""masterpiece"", now more common
- complex and more timely than a throw-up
- a writing type","Works of graffiti art that are large, colorful, and stylistically elaborate and that require a greater amount of time and expertise to create.",,http://vocab.getty.edu/page/aat/300410272,exactMatch,,,,,
ProcessesAndTechniquesHN,hierarchy name,Processes and Techniques <hierarchy name>,ActivitiesF,Concept,,,,,,,,,,,,
processesAndTechniquesBySpecificTypeGT,guide term,processes and techniques by specific type <guide term>,ProcessesAndTechniquesHN,Concept,,,,,,,,,,,,
productionsGraffiti,concept,productions (graffiti),graffitiConcepts,Concept,conceptIdea,production (graffiti),"- two or more graffititists are working together (at the same time) but not necessarily on the same piece, more like next to each other
- this is often clear if the same background colouring is used and can go even further if the same spray can colours are used or the works are even a bit intertwined.","Larger and more involved graffiti art 'pieces' that involve several artists working together. These are achieved legally, where permission has been granted or the work commissioned.",,http://vocab.getty.edu/page/aat/300410281,exactMatch,,,,,
publicAndInteractiveActivitiesGT,guide term,public and interactive activities <guide term>,physicalActivitiesBySpecificContextGT,Concept,,,taken from the Getty AAT,,,,,,,,,
reverseGraffitiTechnique,concept,reverse graffiti (technique),subtractiveProcessesAndTechniquesGT,Concept,activity,,"- is a substractive technique
- done when there is a layer of snow or dirt, that can be scraped or taken off",,,,,,,,,
reverseGraffitiWriting,concept,reverse graffiti (writing),writingGraffiti,Concept,graffitoType,"reverse graffito (writing) $$ graffiti, reverse $$ graffito, reverse",,,,,,https://www.wikidata.org/wiki/Q1810315,skos:exactMatch,,,
rollUpsGraffiti,concept,roll ups (graffiti),writingGraffiti,Concept,graffitoType,roll up (graffiti),"- a banner (bigger poster)
- something gets added
- covers a wall, and is hanging down via a strick/ string --> this seems to be more the general understanding of a ""roll up"" 
--> regarding graffiti: it is done with paint and a painter's role, so still adding something",,,,,,,,,
rollingUpTechnique,concept,rolling up (technique),surfaceCoveringProcessesAndTechniquesGT,Concept,activity,,,Applying ink to a printing plate or block or through a stencil with a roller.,,http://vocab.getty.edu/page/aat/300053313,closeMatch,,,,,
scratchingTechnique,concept,scratching (technique) ,subtractiveProcessesAndTechniquesGT,Concept,activity,,,"The action, process, or technique of making slight linear abrasions on a surface of any kind. May refer to damage, or to a technique for creation of art, such as in printmaking.",,http://vocab.getty.edu/page/aat/300379457,exactMatch,,,,,
scratchingsGraffiti,concept,scratchings (graffiti),writingGraffiti,Concept,graffitoType,scratchning (graffiti),"- a subtractive technique; but also the object itself
- often done with a harder tool that the surface. Often a metal tool like a knife, but also a wooden stick can be used.
- or even finger nails scratching into the bark of a tree","Refers to art works created by scratching or engraving a design into a board or other surface that has been prepared by covering with ink, so that the color of the board shows through the scratched design. Colored wax or paint may be applied to create a design on any paper board, or the board may be commercially produced ""scratchboard."" India ink is often used to cover the wax or paint. A stylus or other sharp instrument is generally used to scratch or scrape away the design.",,http://vocab.getty.edu/page/aat/300264764,exactMatch,,,,,
scriptAndTypeFormsGT,guide term,script and type forms <guide term>,informationFormComponents,Concept,,,taken from the Getty AAT,,,,,,,,,
scriptAndTypeSigns,concept,script and type signs,scriptAndTypeFormsGT,Concept,,,taken from the Getty AAT,,,,,,,,,
sculpturesGraffiti,concept,sculptures (graffiti) ,streetArtGraffiti,Concept,graffitoType,sculpture (graffiti),"- a 3D object
- it gets added into its surrounding (but it is often created via a substractive technique)
- a street art type","Three-dimensional works of art in which images and forms are produced in relief, in intaglio, or in the round. The term refers particularly to art works created by carving or engraving a hard material, by molding or casting a malleable material (which usually then hardens), or by assembling parts to create a three-dimensional object. It is typically used to refer to large or medium-sized objects made of stone, wood, bronze, or another metal. Small objects are typically referred to as ""carvings"" or another appropriate term. ""Sculpture"" refers to works that represent tangible beings, objects, or groups of objects, or are abstract works that have defined edges and boundaries and can be measured. As three-dimensional works become more diffused in space or time, or less tangible, use appropriate specific terms, such as ""mail art"" or ""environmental art.""",,http://vocab.getty.edu/page/aat/300047090,exactMatch,https://www.wikidata.org/wiki/Q860861,skos:exactMatch,,,
secondOutlinesGraffiti,concept,second outlines (graffiti),outlinesGraffiti,Concept,componentPart,"second outline (graffiti) $$ outlines, second (graffiti) $$ outline, second (graffti)","- or also the final outline
- already described in the outline: to make the letters look good
- further purposes of the outline (last/final outline): to make the letters pop, create a line between letters and background, maybe hide some fill in mistakes

See outline --> could and should be considered as the subcategory as outline??",,,,,https://www.wikidata.org/wiki/Q59507148,skos:relatedMatch,,,
secondRowsGraffiti,concept,second rows (graffiti),openSpacesByLocationOrContextGT,Concept,communityTerm,"rows, second $$ second row $$ row, second","- the higher up graffiti
- could be said as being on the second level 
- not so easy to reach, the graffititist needs be be prepared by taking a ladder along if he or she plans to create a graffito higher up
- but because it is harder to reach, the graffiti works stay longer",,,,,,,,,
semiWildstyleGraffiti,concept,semi Wildstyle (graffiti),stylesWriting,Concept,style,"Wildstyle, semi","- a style of writing
- between wildstyle and simple style
- the letters are maybe a little bit harder to read",,,,,,,,,
shadowsGraffiti,concept,shadows (graffiti),backgroundsGraffiti,Concept,componentPart,shadow (graffiti),,"Areas of partial darkness produced by a body intercepting the direct rays of the sun or other luminary, so that radiation is unable to reach the darkened area directly.
 ",,http://vocab.getty.edu/page/aat/300056036 ,closeMatch,https://www.wikidata.org/wiki/Q160020,skos:relatedMatch,,,
signAndElement,collection,sign and element,,Collection,graffitoComponent,,,,,,,,,,,
simpleStyleGraffiti,concept,simple style (graffiti),stylesWriting,Concept,style,"style, simple","[Writing styles]
- one of the earliest graffiti writing styles
- a writing style
- easy to read by the observer as well as the graffitist
- simple and easy to make --> is it common in regards to the throw up? As it was also probably quick to do, so perfect for bombing/ a throw-up?",,,,,,,,,
sketchbooks,concept,sketchbooks,documentsByFunctionGT,Concept,,sketchbook,,,,,,,,,,
slogansVerbalGraffiti,concept,slogans (verbal graffiti),verbalGraffitiGraffiti,Concept,graffitoType,slogan,"[graffiti] --> [Verbal Graffiti]
- a verbal graffiti type
- has often a clearer message put into words
- can be one or more words, even form a sentence
- does not neccessary have a good style/ design
- often done quickly and with the intend to get the message over rather than to ""beautify"" the city",,,,,https://www.wikidata.org/wiki/Q42470,skos:closeMatch,,,
smiliesGraffiti,concept,smilies (graffiti),motifs,Concept,signAndElement,smiley,"- a smiling emojii
- a motif
- either: two dots as eyes and a line as a mouth, or also encycled by a circle drawn around
- a symbol type graffito
- a schematic / simple visualisation of a human smiling","Standardized ideogrammatic symbols used to represent concepts, emotional states, or other information wordlessly and succinctly in electronic communications such as text messages, e-mail, and social media. Originally Japanese, from e: “picture, drawing” and moji “letter, character.”",,http://vocab.getty.edu/page/aat/300412189 ,broadMatch,https://www.wikidata.org/wiki/Q11241,skos:exactMatch,,,
socialMedia,concept,social media,computerNetworkingConcepts,Concept,,,taken from the Getty AAT,"Refers to tools, usually a combination of software and database accessible through the World Wide Web, which enable persistent computer-mediated relationships that encompass social networking, blogs, wikis, and social or collaborative tagging. For specific activities that use social media, use relevent terms such as ""social networking.""",,http://vocab.getty.edu/page/aat/300312269,broadMatch,,,,,
socialMediaHandles,concept,social media handles,socialMedia,Concept,,social media handle,"- I would add that below social media

--> should this here also maybe include INSTAGRAM/ TWITTER, or even include specific handles, like that we do it social media handels (Instagram) and social media handles (Twitter)?

- often part of the Instagram account",,,,,,,,,
socialScienceConcepts,concept,social science concepts,AssociatedConceptsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
sociologicalConcepts,concept,sociological concepts,socialScienceConcepts,Concept,,,taken from the Getty AAT,,,,,,,,,
starsMotifs,concept,stars (motifs),naturalElementMotifs,Concept,signAndElement,star,"taken from the Getty AAT
- a motif
- a schematic/ simple visualsiation of how humans see a star","Conventionalized figures derived from astronomical stars, having radiating points of any number.",,http://vocab.getty.edu/page/aat/300009811 ,exactMatch,https://www.wikidata.org/wiki/Q1191504,skos:exactMatch,,,
stencilsStreetArt,concept,stencils (street art),streetArtGraffiti,Concept,graffitoType,stencil,"result/ object
- a street art type
- adding paint via a stencil on a wall
- often (because of the quick nature) one in one colour
- banksy is well known for this type of graffito"," Visual works or designs produced by using tools also called ""stencils,"" which are sheets of celluloid, paper, cardboard, or other material in which desired lettering or designs have been cut out so that ink or paint applied to the sheets will reproduce the cut-out designs on the surface beneath.",,http://vocab.getty.edu/page/aat/300028878,exactMatch,https://www.wikidata.org/wiki/Q504073,skos:exactMatch,,,
stickersStreetArt,concept,stickers (street art),streetArtGraffiti,Concept,graffitoType,sticker,"- adding something to a surface
- can have a logo, a writing or other motives ","Adhesive-backed slips of paper or similar thin material, usually bearing messages or designs.",,http://vocab.getty.edu/page/aat/300207379 ,exactMatch,https://www.wikidata.org/wiki/Q2872553,skos:exactMatch,,,
streetArtGraffiti,concept,street art (graffiti),graffiti,Concept,graffitoClass,"art, street","[graffiti]
- a type of graffito
- often with an artistic component","Contemporary outdoor paintings, drawings, or three-dimensional works on walls, sidewalks, or street surfaces in public thoroughfares of urban environments, sometimes intended to draw attention to urban issues.
 ",,http://vocab.getty.edu/page/aat/300056477 ,closeMatch,https://www.wikidata.org/wiki/Q17516,skos:closeMatch,,,
streetArtistsGraffiti,concept,street artists (graffiti),graffitists,Concept,graffitoCreator,"street artist $$ artists, street",- the creater of a street art work,,,,,https://www.wikidata.org/wiki/Q2914170,skos:closeMatch,,,
style,collection,style,,Collection,graffitoComponent,,,,,,,,,,,
stylesGraffiti,concept,styles (graffiti),stylesPeriodsAndCulturesByGeneralEraGT,Concept,,graffiti style $$ style (graffiti),"- how the words and letters are styled
- there are graffiti specific styles
- they are changing over time
- can be seen specific to wrting, but also street art is developing over time",,,,,,,,,
stylesSticker,concept,styles (sticker),stylesGraffiti,Concept,,sticker style,,,,,,,,,,
stylesStreetArt,concept,styles (street art),stylesGraffiti,Concept,,street art style,,,,,,,,,,
stylesWriting,concept,styles (writing),stylesGraffiti,Concept,,writing style,,,,,,,,,,
StylesAndPeriodsF,facet,Styles and Periods <facet>,,Concept,,,taken from the Getty AAT,,,,,,,,,
StylesAndPeriodsHN,hierarchy name,Styles and Periods <hierarchy name>,StylesAndPeriodsF,Concept,,,taken from the Getty AAT,"The Styles and Periods hierarchy contains the names of art and architecture styles, historical periods, art movements, nationalities, ethnicities, and cultures (e.g., ""Renaissance,"" ""Ming,"" ""Yoruba,"" ""Celtic,"" ""Louis XIV,"" ""Italian,"" ""Paleolithic""). Relation to other hierarchies: Terms for religions, which may be considered to describe culture, are found in Associated Concepts. Terms for genres of art, including all the arts not specific to a given people or period (e.g., ""amateur art,"" ""pattern poetry"") are found in the Associated Concepts hierarchy; also here are terms for general approaches to art (e.g., ""realism"") while specific movements named after such approaches are found here (e.g., ""Realist"").",,http://vocab.getty.edu/page/aat/300015646 ,exactMatch,,,,,
stylesPeriodsAndCulturesByGeneralEraGT,guide term,"styles, periods, and cultures by general era <guide term>",StylesAndPeriodsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
subtractiveProcessesAndTechniquesGT,guide term,subtractive processes and techniques <guide term> ,processesAndTechniquesBySpecificTypeGT,Concept,,,,,,,,,,,,
surfaceCoveringProcessesAndTechniquesGT,guide term,surface covering processes and techniques <guide term>,additiveAndJoiningProcessesAndTechniquesGT,Concept,,,,,,,,,,,,
swirlsMotifs,concept,swirls (motifs),motifs,Concept,design,swirl,,,,,,,,,,
symbolsGraffiti,concept,symbols (graffiti),graffiti,Concept,graffitoClass,graffiti symbol $$ symbol (graffiti),"[graffiti]
- a type of graffito
- this incooporates all the symbols that can stand alone but also convey a message that everyone is familiar with like a swastika or an anarchy sign or a smiley or a star or a heart etc","Visible signs (which can include figures, such as personifications, or objects) that stand for something else, often something abstract or invisible.",,http://vocab.getty.edu/page/aat/300055878 ,closeMatch,https://www.wikidata.org/wiki/Q3695082,skos:relatedMatch,,,
taggingTechnique,concept,tagging (technique),surfaceCoveringProcessesAndTechniquesGT,Concept,activity,,,,,,,,,,,
tagsGraffiti,concept,tags (graffiti),writingGraffiti,Concept,graffitoType,tag,"[graffiti] --> [Writing]
- a type of writing
- done with a marker
- name/ moniker of the tagger",Stylized forms of graffiti using names or initials as markers. These are considered the most basic form of graffiti art.,,http://vocab.getty.edu/page/aat/300410284 ,exactMatch,https://www.wikidata.org/wiki/Q17514,skos:relatedMatch,,,
technologyGeneralAssociatedConcept,concept,technology (general associated concept),technologyAndRelatedConceptsGT,Concept,,,taken from the Getty AAT,,,,,,,,,
technologyAndRelatedConceptsGT,guide term,technology and related concepts <guide term>,AssociatedConceptsHN,Concept,,,taken from the Getty AAT,,,,,,,,,
threeDimensional,concept,three-dimensional,formAttributes,Concept,,,taken from the Getty AAT,"Having, or appearing to have, the three dimensions of length, width, and height.",,http://vocab.getty.edu/page/aat/300010331,exactMatch,,,,,
throwUpsGraffiti,concept,throw ups (graffiti),writingGraffiti,Concept,graffitoType,throw up (graffiti) $$ throwie $$ throw-ups $$ throw-up,"[graffiti] --> [Writing]
- a type of writing
- can be done quickly
- easy to do
- can be done during a bombing acitivity
the descirption is fitting just the hierarchy maybe not: ","Graffiti art works produced with spray paint, that spell out the artist's name in rounded letters. Usually these are rendered in two colors, one for the body and another for a contrasting outline. These are intended to cover as much surface area as possible in the shortest amount of time without regard to style or technical proficiency.",,http://vocab.getty.edu/page/aat/300410271 ,exactMatch,,,,,
toysGraffiti,concept,toys (graffiti),peopleByStateOrConditionGT,Concept,communityTerm,toy (graffiti) $$ toy $$ toys,"See novices (http://vocab.getty.edu/page/aat/300393205). But we are using the same hierarchy as celebrities
- this refers in our context to a person, but the Getty AAT concepts are only considering play toys (mechanical, educational, inflatable etc)
- the beginner 
- frauned upon/ looked down at by the other graffitist
- not so skilled when working with spray cans
- still has to get up
",,,,,,,,,
underlinesGraffiti,concept,underlines (graffiti),outlinesGraffiti,Concept,design,underline (graffiti),"- a line below the writing
- hierarchical part of the outline",,,,,https://www.wikidata.org/wiki/Q1187096,skos:closeMatch,,,
urbanKnittingsGraffiti,concept,urban knittings (graffiti),streetArtGraffiti,Concept,graffitoType,urban knitting (graffiti) ,"- yarn gets added
- covering trees or other objects that can be enclosed by yarn --> not really found on walls

- But we would want it like mosaic, as a process and thereby as an additive technique
It is an exactMatch to yarn bombing in the Getty AAT, but only a closeMatch to the hierarchical location of this concept","Works in public space comprising knitted or crocheted adornments, usually installed without institutional oversight.",,http://vocab.getty.edu/page/aat/300410377 ,exactMatch,https://www.wikidata.org/wiki/Q579816,skos:exactMatch,,,
verbalGraffitiGraffiti,concept,verbal graffiti (graffiti),graffiti,Concept,graffitoClass,verbal graffito ,"[graffiti]
- a type of graffiti
- see the description of slogan",,,,,,,,,
VisualAndVerbalCommunicationHN,hierarchy name,Visual and Verbal Communication <hierarchy name> ,ObjectsF,Concept,,,,,,,,,,,,
visualWorksWorks,concept,visual works (works) ,VisualAndVerbalCommunicationHN,Concept,,,,,,,,,,,,
visualWorksByFunctionGT,guide term,visual works by function <guide term>,visualWorksWorks,Concept,,,,,,,,,,,,
visualWorksByLocationOrContextGT,guide term,visual works by location or context <guide term>,visualWorksWorks,Concept,,,,,,,,,,,,
WildstyleWriting,concept,Wildstyle (writing),stylesWriting,Concept,style,,"[Writing styles]
- a very well-known graffiti style
- not easy to read, often unreadable by the casual observer","A genre of graffiti art with interlocking, highly stylized and often cryptic lettering.",,http://vocab.getty.edu/page/aat/300410277,exactMatch,https://www.wikidata.org/wiki/Q1810081,skos:exactMatch,,,
writersGraffiti,concept,writers (graffiti),graffitists,Concept,graffitoCreator,writer (graffiti),- the creator of a writing,,,,,,,,,
writingGraffiti,concept,writing (graffiti),graffiti,Concept,graffitoClass,,"[graffiti]
rather a movement itself than a type of a graffito and also nothing tangible. And the main part of writing are styles, pieces and tags.",,,,,,,,,